Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
ELI,ELIA GROUP SA,Utilities,Equity,12299383.39,0.00851,12299383.39,78060,157.56,Belgium,Nyse Euronext - Euronext Brussels,EUR
STN,STANTEC INC,Industrials,Equity,12307110.34,0.00851,12307110.34,169135,72.77,Canada,Toronto Stock Exchange,CAD
7270,SUBARU CORP,Consumer Discretionary,Equity,12281496.1,0.0085,12281496.1,808600,15.19,Japan,Tokyo Stock Exchange,JPY
CON,CONTINENTAL AG,Consumer Discretionary,Equity,12201078.25,0.00844,12201078.25,150912,80.85,Germany,Xetra,EUR
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,Equity,12152069.34,0.00841,12152069.34,500382,24.29,United Kingdom,London Stock Exchange,GBP
H78,HONGKONG LAND HOLDINGS LTD,Real Estate,Equity,12059660.24,0.00834,12059660.24,1463551,8.24,Hong Kong,Singapore Exchange,USD
NOK,NOK CASH,Cash and/or Derivatives,Cash,12026666.15,0.00832,12026666.15,111107754,10.82,Norway,--,NOK
GET,GETLINK,Industrials,Equity,12006323.27,0.00831,12006323.27,553548,21.69,France,Nyse Euronext - Euronext Paris,EUR
12,HENDERSON LAND DEVELOPMENT LTD,Real Estate,Equity,12017651.35,0.00831,12017651.35,2745830,4.38,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
MICC,MAGNUM ICE CREAM NV,Consumer Staples,Equity,11998928.23,0.0083,11998928.23,789749,15.19,Netherlands,Euronext Amsterdam,EUR
EFN,ELEMENT FLEET MANAGEMENT CORP,Industrials,Equity,11931358.76,0.00825,11931358.76,596807,19.99,Canada,Toronto Stock Exchange,CAD
COLO B,COLOPLAST B,Health Care,Equity,11907820.69,0.00824,11907820.69,190798,62.41,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
8113,UNICHARM CORP,Consumer Staples,Equity,11878288.91,0.00822,11878288.91,2033000,5.84,Japan,Tokyo Stock Exchange,JPY
OKLO,OKLO INC CLASS A,Utilities,Equity,11863707.57,0.00821,11863707.57,176517,67.21,United States,New York Stock Exchange Inc.,USD
SGH,SGH LTD,Industrials,Equity,11853991.5,0.0082,11853991.5,414068,28.63,Australia,Asx - All Markets,AUD
LUG,LUNDIN GOLD INC,Materials,Equity,11854315.94,0.0082,11854315.94,172330,68.79,Canada,Toronto Stock Exchange,CAD
IG,ITALGAS,Utilities,Equity,11794398.36,0.00816,11794398.36,974705,12.1,Italy,Borsa Italiana,EUR
TLX,TALANX AG,Financials,Equity,11725307.65,0.00811,11725307.65,96157,121.94,Germany,Xetra,EUR
7202,ISUZU MOTORS LTD,Consumer Discretionary,Equity,11648088.78,0.00806,11648088.78,774800,15.03,Japan,Tokyo Stock Exchange,JPY
ORK,ORKLA,Consumer Staples,Equity,11649939.34,0.00806,11649939.34,984697,11.83,Norway,Oslo Bors Asa,NOK
